,,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
Italy,All Contacts,0.24,0.35,0.65,1.6,4.96,3.42,0.88,0.75,1.19,0.67,0.74,0.8,0.64,0.21,0.37
Italy,All Contacts,0.62,0.54,0.46,0.87,3.04,3.45,1.66,1.52,1.14,1,1.24,1.18,1.15,0.61,1.1
Italy,All Contacts,0.97,0.77,0.52,0.53,1.4,2.97,2.54,2.32,1.95,1.77,1.02,1.18,1.45,1.14,0.93
Italy,All Contacts,1.29,1.35,0.95,0.67,1.17,1.55,2.42,3.09,2.05,1.75,1.5,1.31,1.49,1.18,0.57
Italy,All Contacts,1.28,1.62,1.72,1.24,1.11,1.24,1.6,3.18,3.1,1.83,1.72,1.65,1.3,0.89,0.97
Italy,All Contacts,0.73,0.66,1.4,2.01,1.58,1.08,1.02,1.61,1.97,1.58,1.57,1.41,1.55,1,1
Italy,All Contacts,0.51,0.56,0.84,1.21,1.42,1,1.1,1.16,2.02,1.63,1.63,1.39,1.32,0.89,0.77
Italy,All Contacts,0.64,0.43,0.42,0.54,0.89,0.92,0.8,0.82,0.73,1.07,1.69,1.84,1.53,0.71,1.03
Italy,All Contacts,0.47,0.41,0.18,0.26,0.62,0.53,0.8,0.84,0.98,0.55,0.72,1.31,0.94,1.18,0.73
Italy,All Contacts,0.53,0.45,0.37,0.04,0.21,0.26,0.58,0.7,0.51,0.25,0.26,0.84,1.11,1.21,1.27
Italy,All Contacts,0.83,0.83,0.71,0.39,0.6,0.79,0.56,0.88,1.07,0.9,0.96,1.57,1.7,1.39,1.27
Italy,Physical,3.47,0.72,0.16,0.09,0.36,0.08,0.68,0.68,0.61,1.07,0.09,0.29,0.34,0.25,0.2
Italy,Physical,1.35,6.78,0.95,0.16,0.13,0.16,0.48,0.75,0.54,0.8,0.98,0.45,0.13,0.14,0.33
Italy,Physical,0.36,1.09,9.13,0.84,0.25,0.16,0.16,0.27,0.63,0.58,0.78,0.24,0.51,0.14,1.27
Italy,Physical,0.13,0.21,1.59,9.34,0.64,0.42,0.1,0.14,1.05,0.65,0.54,0.24,0.23,0.04,0.77
Italy,Physical,0.17,0.27,0.41,1,3.51,2.29,0.34,0.3,0.59,0.22,0.33,0.43,0.36,0.04,0.3
Italy,Physical,0.45,0.3,0.17,0.31,1.75,2.24,0.74,0.36,0.36,0.17,0.52,0.61,0.53,0.32,0.7
Italy,Physical,0.69,0.51,0.25,0.2,0.6,1.82,1.38,0.79,0.71,0.52,0.37,0.37,0.74,0.39,0.6
Italy,Physical,1.01,1.01,0.59,0.23,0.45,0.89,1.14,1.36,0.78,0.6,0.56,0.55,0.94,0.54,0.4
Italy,Physical,0.99,1.11,1.03,0.43,0.64,0.61,0.62,1.3,1.31,0.82,0.54,0.45,0.64,0.39,0.5
Italy,Physical,0.49,0.48,0.67,1.03,0.79,0.42,0.58,0.55,0.66,0.83,0.57,0.45,0.87,0.54,0.37
Italy,Physical,0.37,0.37,0.38,0.6,0.66,0.45,0.38,0.45,0.58,0.75,0.72,0.49,0.74,0.39,0.3
Italy,Physical,0.45,0.34,0.13,0.23,0.49,0.42,0.16,0.36,0.25,0.57,0.61,0.86,0.85,0.25,0.53
